RunOrder	StdOrder	WaterTemp	Coffee	Flame	Rep	Time
2	1	15	6	1	1	216
36	2	50	6	1	1	175
17	3	15	7	1	1	350
21	4	50	7	1	1	190
29	5	15	6	2	1	385
11	6	50	6	2	1	201
5	7	15	7	2	1	410
32	8	50	7	2	1	209
20	9	15	6	3	1	410
19	10	50	6	3	1	295
3	11	15	7	3	1	480
35	12	50	7	3	1	226
30	13	15	6	1	2	201
28	14	50	6	1	2	155
31	15	15	7	1	2	190
25	16	50	7	1	2	153
9	17	15	6	2	2	245
4	18	50	6	2	2	162
33	19	15	7	2	2	218
10	20	50	7	2	2	213
1	21	15	6	3	2	442
16	22	50	6	3	2	257
24	23	15	7	3	2	416
14	24	50	7	3	2	258
12	25	15	6	1	3	255
13	26	50	6	1	3	209
27	27	15	7	1	3	217
18	28	50	7	1	3	272
26	29	15	6	2	3	320
34	30	50	6	2	3	252
6	31	15	7	2	3	290
15	32	50	7	2	3	343
8	33	15	6	3	3	340
23	34	50	6	3	3	285
7	35	15	7	3	3	380
22	36	50	7	3	3	424
