RunOrder	StdOrder	Temp	Mat	Rep	Yield
24	1	15	1	1	NA
17	2	70	1	1	NA
27	3	125	1	1	NA
13	4	15	2	1	NA
34	5	70	2	1	NA
12	6	125	2	1	NA
29	7	15	3	1	NA
16	8	70	3	1	NA
14	9	125	3	1	NA
15	10	15	1	2	NA
30	11	70	1	2	NA
33	12	125	1	2	NA
10	13	15	2	2	NA
35	14	70	2	2	NA
18	15	125	2	2	NA
4	16	15	3	2	NA
8	17	70	3	2	NA
31	18	125	3	2	NA
20	19	15	1	3	NA
36	20	70	1	3	NA
26	21	125	1	3	NA
28	22	15	2	3	NA
11	23	70	2	3	NA
7	24	125	2	3	NA
21	25	15	3	3	NA
22	26	70	3	3	NA
6	27	125	3	3	NA
9	28	15	1	4	NA
25	29	70	1	4	NA
32	30	125	1	4	NA
1	31	15	2	4	NA
3	32	70	2	4	NA
2	33	125	2	4	NA
5	34	15	3	4	NA
19	35	70	3	4	NA
23	36	125	3	4	NA
