RunOrder	StdOrder	WaterTemp	Coffee	Flame	Rep	Time
13	1	20	3	1	1	241
21	2	80	3	1	1	156
26	3	20	4	1	1	301
19	4	80	4	1	1	283
31	5	20	3	2	1	123
14	6	80	3	2	1	120
20	7	20	4	2	1	214
17	8	80	4	2	1	124
4	9	20	3	3	1	133
5	10	80	3	3	1	109
1	11	20	4	3	1	190
9	12	80	4	3	1	112
15	13	20	3	1	2	234
3	14	80	3	1	2	122
2	15	20	4	1	2	303
10	16	80	4	1	2	270
30	17	20	3	2	2	154
18	18	80	3	2	2	139
22	19	20	4	2	2	216
24	20	80	4	2	2	98
27	21	20	3	3	2	136
29	22	80	3	3	2	131
8	23	20	4	3	2	223
25	24	80	4	3	2	131
33	25	20	3	1	3	227
23	26	80	3	1	3	152
12	27	20	4	1	3	298
28	28	80	4	1	3	298
16	29	20	3	2	3	136
7	30	80	3	2	3	133
35	31	20	4	2	3	231
34	32	80	4	2	3	105
6	33	20	3	3	3	135
32	34	80	3	3	3	123
36	35	20	4	3	3	210
11	36	80	4	3	3	139
