RunOrder	StdOrder	WatTemp	Coffee	Flame	Rep	Yield
23	1	20	3	1	1	224
32	2	80	3	1	1	140
24	3	20	4	1	1	309
12	4	80	4	1	1	290
16	5	20	3	2	1	140
28	6	80	3	2	1	130
2	7	20	4	2	1	220
3	8	80	4	2	1	108
1	9	20	3	3	1	130
36	10	80	3	3	1	115
33	11	20	4	3	1	206
26	12	80	4	3	1	126
5	13	20	3	1	2	NA
21	14	80	3	1	2	NA
30	15	20	4	1	2	NA
22	16	80	4	1	2	NA
8	17	20	3	2	2	NA
9	18	80	3	2	2	NA
34	19	20	4	2	2	NA
18	20	80	4	2	2	NA
19	21	20	3	3	2	NA
4	22	80	3	3	2	NA
7	23	20	4	3	2	NA
25	24	80	4	3	2	NA
27	25	20	3	1	3	NA
17	26	80	3	1	3	NA
10	27	20	4	1	3	NA
11	28	80	4	1	3	NA
31	29	20	3	2	3	NA
15	30	80	3	2	3	NA
20	31	20	4	2	3	NA
35	32	80	4	2	3	NA
6	33	20	3	3	3	NA
29	34	80	3	3	3	NA
14	35	20	4	3	3	NA
13	36	80	4	3	3	NA
