RunOrder	StdOrder	WaterTemp	Coffee	Flame	Rep	Time
19	1	14	9	1	1	217
14	2	50	9	1	1	137
23	3	14	11	1	1	308
15	4	50	11	1	1	302
22	5	14	9	2	1	160
18	6	50	9	2	1	122
2	7	14	11	2	1	221
9	8	50	11	2	1	127
16	9	14	9	3	1	133
11	10	50	9	3	1	134
29	11	14	11	3	1	200
4	12	50	11	3	1	127
30	13	14	9	1	2	219
27	14	50	9	1	2	123
25	15	14	11	1	2	309
24	16	50	11	1	2	299
20	17	14	9	2	2	151
17	18	50	9	2	2	137
8	19	14	11	2	2	239
13	20	50	11	2	2	99
5	21	14	9	3	2	133
12	22	50	9	3	2	122
31	23	14	11	3	2	223
36	24	50	11	3	2	122
21	25	14	9	1	3	230
32	26	50	9	1	3	134
35	27	14	11	1	3	319
6	28	50	11	1	3	279
33	29	14	9	2	3	130
1	30	50	9	2	3	130
3	31	14	11	2	3	228
28	32	50	11	2	3	114
10	33	14	9	3	3	134
7	34	50	9	3	3	126
26	35	14	11	3	3	220
34	36	50	11	3	3	113
